Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,243.57,273.43,273.53,288.38,268.83,265.43,287.2,260.99,267.82,355.72,442.7,516.66,580.24,665.6,713.5,715.49,849.41,945.44,953.0,962.39,978.71,898.28,828.94,973.0,1012.31,1009.72,933.39,1085.75,1191.42,1245.47
Africa Western and Central,134.78,207.18,262.6,275.74,296.15,139.47,142.14,150.06,179.39,207.75,256.91,313.33,398.14,466.88,569.32,509.92,600.15,683.89,739.94,836.94,897.42,771.77,694.36,687.85,770.49,826.48,789.8,849.31,883.97,799.11
Angola,4.44,5.54,7.53,7.65,6.51,6.15,9.13,8.94,15.29,17.81,23.55,36.97,52.38,65.27,88.54,70.31,83.8,111.79,128.05,132.34,135.97,90.5,52.76,73.69,79.45,70.9,48.5,66.51,104.4,84.82
Albania,1.88,2.39,3.2,2.26,2.55,3.21,3.48,3.92,4.35,5.61,7.18,8.05,8.9,10.68,12.88,12.04,11.93,12.89,12.32,12.78,13.23,11.39,11.86,13.02,15.38,15.59,15.24,18.03,19.02,23.55
Arab World,499.88,528.48,570.91,614.6,598.79,665.42,763.41,744.73,746.65,830.08,987.32,1210.02,1439.47,1674.64,2118.07,1829.85,2155.35,2560.99,2795.31,2858.38,2905.65,2544.7,2500.82,2572.2,2867.35,2899.03,2562.78,2969.24,3609.81,3512.42
Armenia,1.32,1.47,1.6,1.64,1.89,1.85,1.91,2.12,2.38,2.81,3.58,4.9,6.38,9.21,11.66,8.65,9.26,10.14,10.62,11.12,11.61,10.55,10.55,11.53,12.46,13.62,12.64,13.88,19.51,24.09
Australia,322.81,368.17,401.34,435.64,399.67,389.65,416.17,379.63,395.79,467.74,614.66,695.69,748.42,855.01,1056.11,928.76,1148.84,1398.61,1547.53,1577.12,1468.27,1351.3,1206.84,1325.58,1427.81,1392.72,1328.41,1556.74,1690.86,1728.06
Austria,202.74,240.09,235.95,211.72,217.07,216.42,196.18,196.48,212.84,260.78,299.21,313.95,333.91,386.76,429.23,399.29,389.83,428.95,406.75,426.58,438.56,379.55,393.69,414.93,452.58,442.98,434.4,480.47,471.77,511.69
Azerbaijan,1.19,2.42,3.18,3.96,4.45,4.58,5.27,5.71,6.24,7.28,8.68,13.25,20.98,33.05,48.85,44.29,52.91,65.95,69.68,74.16,75.24,53.08,37.87,40.87,47.11,48.17,42.69,54.83,78.81,72.36
Burundi,0.93,1.0,0.87,0.97,0.89,0.81,0.87,0.88,0.83,0.78,0.92,1.12,1.27,1.36,1.61,1.78,2.03,2.24,2.33,2.45,2.71,3.1,2.64,2.72,2.67,2.58,2.65,2.78,3.34,2.64
Belgium,244.88,288.03,279.2,252.71,258.53,258.25,236.79,236.75,258.38,318.08,369.21,385.71,408.26,470.92,517.33,485.01,481.56,527.2,498.41,524.1,537.99,461.04,474.27,500.91,542.64,536.73,529.69,598.49,593.44,644.78
Benin,1.6,2.17,2.36,2.27,2.46,3.68,3.52,3.67,4.19,5.35,6.19,6.57,7.03,8.17,9.79,9.74,9.54,10.69,11.14,12.52,13.28,11.39,11.82,12.7,14.26,14.39,15.65,17.69,17.4,19.68
Burkina Faso,1.9,2.38,2.59,2.45,2.8,3.39,2.97,3.19,3.62,4.74,5.45,6.15,6.55,7.63,9.45,9.45,10.11,12.08,12.56,13.44,13.94,11.83,12.83,14.11,15.89,16.03,17.73,19.7,18.82,20.32
Bangladesh,33.77,37.94,46.44,48.24,49.98,51.27,53.37,53.99,54.72,60.16,65.11,69.48,71.8,79.61,91.64,102.48,115.28,128.61,133.31,150.0,172.89,195.15,265.22,293.73,321.36,351.23,373.98,416.27,460.13,437.42
Bulgaria,9.7,18.99,12.29,11.32,15.03,13.63,13.25,14.18,16.4,21.14,26.16,29.87,34.38,44.43,54.48,52.02,50.76,57.74,54.29,55.85,57.16,50.81,53.96,59.31,66.29,68.63,70.72,84.42,90.64,102.41
Bahrain,6.33,6.65,6.94,7.22,7.03,7.53,9.06,8.98,9.59,11.07,13.15,15.97,18.5,21.73,25.71,22.94,26.81,29.91,31.96,33.82,34.77,32.52,33.88,37.2,39.57,40.45,35.84,40.84,46.68,46.08
