Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,14.85,12.29,9.71,10.25,7.5,7.82,8.6,5.84,8.76,7.45,5.02,8.56,8.9,8.45,12.57,8.95,5.54,8.97,9.16,5.75,5.37,5.25,6.57,6.4,4.72,4.65,5.41,7.24,10.77,7.13
Africa Western and Central,31.84,10.56,4.91,4.0,4.47,0.37,2.53,4.36,3.19,1.76,0.69,5.63,4.42,3.61,8.45,3.28,1.78,4.02,4.58,2.44,1.77,2.13,1.49,1.73,1.78,1.98,2.49,3.75,7.95,4.95
Angola,949.79,2666.45,4145.11,219.18,107.28,248.2,325.0,152.56,108.9,98.22,43.54,22.95,13.31,12.25,12.48,13.73,14.47,13.48,10.28,8.78,7.28,9.36,30.69,29.84,19.63,17.08,22.27,25.75,21.36,13.64
Albania,22.57,7.79,12.73,33.18,20.64,0.39,0.05,3.11,7.77,0.48,2.28,2.37,2.37,2.93,3.32,2.27,3.63,3.43,2.03,1.94,1.63,1.9,1.28,1.99,2.03,1.41,1.62,2.04,6.73,4.76
Arab World,5.11,6.54,4.68,3.6,3.42,2.67,1.85,1.77,1.83,2.71,3.63,3.49,3.54,4.74,11.27,2.92,3.91,4.75,4.61,3.25,2.77,1.85,2.68,2.17,2.46,1.09,1.61,2.97,5.09,3.64
Armenia,3373.76,175.95,18.68,13.96,8.67,0.65,-0.79,3.15,1.06,4.72,6.96,0.64,2.89,4.41,8.95,3.41,8.18,7.65,2.56,5.79,2.98,3.73,-1.4,0.97,2.52,1.44,1.21,7.18,8.64,1.98
Australia,1.97,4.63,2.62,0.22,0.86,1.48,4.46,4.41,2.98,2.73,2.34,2.69,3.56,2.33,4.35,1.77,2.92,3.3,1.76,2.45,2.49,1.51,1.28,1.95,1.91,1.61,0.85,2.86,6.59,5.6
Austria,2.95,2.24,1.86,1.31,0.92,0.57,2.34,2.65,1.81,1.36,2.06,2.3,1.44,2.17,3.22,0.51,1.81,3.29,2.49,2.0,1.61,0.9,0.89,2.08,2.0,1.53,1.38,2.77,8.55,7.81
Azerbaijan,1662.22,411.76,19.79,3.67,-0.77,-8.53,1.81,1.55,2.77,2.23,6.71,9.68,8.33,16.7,20.85,1.46,5.73,7.86,1.07,2.42,1.37,4.03,12.44,12.94,2.27,2.61,2.76,6.65,13.85,8.79
Burundi,14.85,19.26,26.44,31.11,12.5,3.39,24.43,9.3,-1.37,10.65,8.18,13.25,2.75,8.41,24.41,10.56,6.49,9.59,18.16,7.94,4.41,5.54,5.56,16.05,-2.81,-0.69,7.32,8.4,18.8,26.94
Belgium,2.38,1.47,2.08,1.63,0.95,1.12,2.54,2.47,1.65,1.59,2.1,2.78,1.79,1.82,4.49,-0.05,2.19,3.53,2.84,1.11,0.34,0.56,1.97,2.13,2.05,1.44,0.74,2.44,9.6,4.05
Benin,38.53,14.46,4.91,3.47,5.75,0.33,4.17,3.98,2.49,1.49,0.87,5.36,3.78,1.3,7.95,0.9,2.21,2.7,6.74,0.43,-0.55,0.22,-0.79,0.04,0.92,0.73,3.02,1.73,1.35,2.73
Burkina Faso,25.18,7.46,6.1,2.32,5.08,-1.07,-0.3,5.01,2.18,2.03,-0.4,6.42,2.33,-0.23,10.66,2.61,-0.76,2.76,3.82,0.53,-0.26,0.72,0.44,1.48,1.96,-3.23,1.88,3.65,14.29,0.74
Bangladesh,5.31,10.3,2.38,5.31,8.4,6.11,2.21,2.01,3.33,5.67,7.59,7.05,6.77,9.11,8.9,5.42,8.13,11.4,6.22,7.53,6.99,6.19,5.51,5.7,5.54,5.59,5.69,5.55,7.7,9.88
Bulgaria,96.06,62.05,121.61,1058.37,18.67,2.57,10.32,7.36,5.81,2.35,6.15,5.04,7.26,8.4,12.35,2.75,2.44,4.22,2.95,0.89,-1.42,-0.1,-0.8,2.06,2.81,3.1,1.67,3.3,15.33,9.44
Bahrain,0.82,2.7,-0.45,2.43,-0.37,-1.29,-0.7,-1.21,-0.5,1.59,2.35,2.59,2.01,3.26,3.53,2.8,1.96,-0.4,2.76,3.3,2.65,1.85,2.79,1.39,2.09,1.01,-2.32,-0.61,3.63,0.07
"Bahamas, The",1.4,2.07,1.38,0.54,1.34,1.25,1.61,2.04,2.17,3.03,0.98,1.59,2.39,2.49,4.49,2.06,1.34,3.2,1.97,0.72,1.51,1.86,-0.35,1.52,2.27,2.49,0.04,2.9,5.61,3.05
Belarus,2221.02,709.35,52.71,63.94,72.87,293.68,168.62,61.13,42.54,28.4,18.11,10.34,7.0,8.43,14.84,12.95,7.74,53.23,59.22,18.31,18.12,13.53,11.84,6.03,4.87,5.6,5.55,9.46,15.21,5.0
