Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,8.14,7.91,7.82,7.78,7.81,7.85,7.79,7.68,7.63,7.59,7.4,7.22,7.16,7.1,7.08,7.16,7.4,7.43,7.18,6.99,6.95,7.04,7.19,7.35,7.36,7.58,8.19,8.58,7.99,7.81
Africa Western and Central,4.39,4.4,4.34,4.31,4.32,4.51,4.55,4.48,4.29,4.18,4.09,4.1,3.97,3.95,3.97,4.0,3.99,3.97,3.98,3.7,3.88,4.16,4.16,4.27,4.32,4.4,4.85,4.74,3.66,3.28
Angola,17.4,16.99,16.27,16.17,16.37,16.59,16.68,16.7,16.49,16.5,16.38,16.36,16.21,16.15,16.23,16.43,16.62,16.77,16.56,16.49,16.41,16.49,16.58,16.61,16.59,16.5,16.69,15.8,14.6,14.54
Albania,20.84,14.61,13.93,16.87,20.04,20.84,19.02,18.57,17.89,16.98,16.31,15.97,15.63,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.06,17.19,15.42,13.62,12.3,11.47,11.69,11.47,10.14,10.11
Arab World,13.03,13.52,12.48,12.01,11.96,12.14,12.63,12.51,12.51,12.46,11.43,11.24,10.52,10.15,9.88,9.47,9.58,10.69,11.07,11.04,11.04,11.15,10.86,11.11,10.66,10.22,11.33,10.89,9.95,9.59
Armenia,6.6,6.7,9.3,10.8,9.4,11.2,11.1,10.99,10.83,10.7,10.62,10.54,10.46,10.39,17.1,19.3,19.52,18.88,17.51,16.58,17.5,18.26,17.62,17.7,18.97,18.3,18.18,15.47,13.38,13.24
Australia,9.72,8.47,8.51,8.37,7.68,6.88,6.29,6.75,6.38,5.93,5.4,5.04,4.78,4.38,4.24,5.56,5.21,5.08,5.22,5.66,6.08,6.06,5.71,5.59,5.3,5.16,6.46,5.12,3.73,3.67
Austria,3.54,4.34,5.28,5.15,5.48,4.7,4.69,4.01,4.85,4.78,5.97,5.68,5.32,4.91,4.2,5.37,4.88,4.64,4.91,5.37,5.67,5.8,6.06,5.56,4.93,4.56,5.2,6.46,4.99,5.26
Azerbaijan,6.3,7.2,8.1,9.1,10.0,10.9,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.0,5.0,4.9,5.0,7.24,6.04,5.65,5.64
Burundi,3.1,3.08,3.08,3.12,3.16,3.12,3.13,3.15,3.17,3.13,3.18,3.15,3.18,2.4,1.63,1.62,1.62,1.6,1.59,1.58,1.57,1.44,1.35,1.25,1.15,1.04,1.03,1.12,0.92,0.92
